"title","score","release_date","platform"
"This Could Hurt",78,"2012-04-25","ios"
"This Is Not A Ball Game.",NA,"2013-05-13","ios"
"This Is Not A Test: A Post-Apocalyptic Prequel",NA,"2013-09-01","ios"
"This Means WAR!",NA,"2014-06-26","ios"
"This War of Mine",90,"2015-07-15","ios"
"Thomas Was Alone",88,"2014-05-15","ios"
"Thor: Lord of Storms",NA,"2013-05-09","ios"
"THOR: Son of Asgard",48,"2011-05-10","ios"
"Thor: The Dark World - The Official Game",48,"2013-10-31","ios"
"Thorn: Zombie Dungeon Survival",NA,"2011-07-10","ios"
"Three Trees",NA,"2011-03-30","ios"
"Threes!",92,"2014-02-05","ios"
"Throne of Swords",NA,"2012-05-23","ios"
"Through the Ages",NA,"2017-09-15","ios"
"Throw The Knife",NA,"2012-05-01","ios"
"Throw With Joe",NA,"2013-04-23","ios"
"Thumb Drift - Furious One Touch Car Racing",79,"2016-02-17","ios"
"Thumper: Pocket Edition",NA,"2018-01-24","ios"
"Thumpies",83,"2010-02-17","ios"
"Tic Tactics",83,"2013-11-20","ios"
"Tic Toc Body Pop",NA,"2011-06-09","ios"
"Tick Tock Toys",NA,"2013-02-28","ios"
"Ticket to Earth",84,"2017-03-15","ios"
"Ticket to Ride",91,"2011-05-18","ios"
"Ticket to Ride Europe Pocket",NA,"2012-07-24","ios"
"Ticket to Ride Pocket",NA,"2011-11-16","ios"
"Ticklefluff",NA,"2015-03-25","ios"
"TicToe Fury",NA,"2012-08-13","ios"
"Tidal Drive",NA,"2014-04-16","ios"
"Tide Of The Dead",NA,"2012-03-22","ios"
"TIG - The Impossible Game",NA,"2011-03-09","ios"
"Tiger & Chicken",NA,"2013-08-28","ios"
"Tiger Woods PGA Tour 12",81,"2011-03-29","ios"
"Tiger Woods PGA Tour 12 for iPad",82,"2011-03-29","ios"
"TightWire Adventures",NA,"2011-12-12","ios"
"Tikal",NA,"2011-04-20","ios"
"Tiki Gods: Ancient Times - Kumulipo",NA,"2012-07-19","ios"
"Tiki Kart 3D",NA,"2012-01-06","ios"
"Tiki Smasher",NA,"2010-04-13","ios"
"Tiki Totems",NA,"2009-11-17","ios"
"Tiki Totems 2",NA,"2010-12-06","ios"
"Tiki Towers",NA,"2008-11-28","ios"
"Tiki Towers 2",63,"2011-01-20","ios"
"Til Morning's Light",77,"2015-05-20","ios"
"Tile Temple Tactics - a board game of strategy and cunning for 1-2 players",NA,"2014-04-23","ios"
"Tileout",NA,"2013-12-19","ios"
"Tiliard",NA,"2012-07-14","ios"
"Tilt to Live",90,"2010-02-24","ios"
"Tilt to Live 2: Redonkulous",83,"2013-11-13","ios"
"Tilt to Live HD",NA,"2010-10-07","ios"
"Tilt to Live: Gauntlet's Revenge",78,"2014-10-23","ios"
"Tilt-a-Bowl",NA,"2011-06-03","ios"
"Tilt: Quill's Quandary",NA,"2015-12-10","ios"
"Tiltagon",NA,"2015-04-09","ios"
"Timber Tennis",NA,"2017-05-17","ios"
"Timber West",NA,"2017-12-06","ios"
"Timberman Golden Edition",NA,"2014-05-08","ios"
"Time Crash",NA,"2017-07-26","ios"
"Time Crisis 2nd Strike",66,"2010-09-15","ios"
"TIME CRISIS 2ND STRIKE HD",NA,"2010-12-21","ios"
"Time Ducks",77,"2011-11-23","ios"
"Time Gap: Hidden Object Mystery",NA,"2014-04-11","ios"
"Time Geeks & Friends",77,"2012-08-30","ios"
"Time Geeks: Cloneggs",NA,"2011-07-13","ios"
"Time Geeks: Find All!",NA,"2010-09-27","ios"
"TIME LOCKER - Shooter",NA,"2016-07-12","ios"
"Time of Heroes",74,"2012-01-19","ios"
"Time Recoil",NA,"2017-10-18","ios"
"Time Sliders",NA,"2012-03-08","ios"
"Time Surfer",82,"2013-01-09","ios"
"Time Tangle - Adventure Time",70,"2014-08-07","ios"
"Time Tinkers",NA,"2013-08-22","ios"
"Time Trap HdO",NA,"2012-08-19","ios"
"Timecrest",NA,"2015-08-27","ios"
"TimeCube",NA,"2014-12-18","ios"
"Timeline Civil War",NA,"2013-08-08","ios"
"Timeline for iPad",NA,"2012-02-06","ios"
"TimeLines: Assault on America",NA,"2015-02-17","ios"
"Timenauts",NA,"2016-03-09","ios"
"Tin Man Can",67,"2013-01-17","ios"
"Tinker Island: Survival Adventure",NA,"2016-07-27","ios"
"TinkerBox",NA,"2011-01-26","ios"
"Tiny Aliens",NA,"2012-08-14","ios"
"Tiny Archers",NA,"2016-07-14","ios"
"Tiny Bombers",NA,"2017-03-23","ios"
"Tiny Bubbles",95,"2018-05-08","ios"
"Tiny Castle",NA,"2012-11-30","ios"
"Tiny City",NA,"2014-03-20","ios"
"Tiny Crasher 2 - War at the Super Hero Temple",NA,"2013-03-29","ios"
"Tiny Cup",NA,"2014-05-27","ios"
"Tiny Dangerous Dungeons",NA,"2015-04-02","ios"
"Tiny Defense",72,"2011-09-22","ios"
"Tiny Dice Dungeon",78,"2014-04-23","ios"
"Tiny Egg Begins",NA,"2012-06-25","ios"
"Tiny Empire",NA,"2015-08-27","ios"
"Tiny Farm",NA,"2011-08-01","ios"
"Tiny Farm by Com2uS",NA,"2011-08-18","ios"
"Tiny Games",NA,"2013-10-24","ios"
"Tiny Gladiators",NA,"2017-04-05","ios"
"Tiny Goalie",NA,"2014-02-20","ios"
"Tiny Guardians",NA,"2015-04-16","ios"
"Tiny Heroes",85,"2011-09-08","ios"
"Tiny Invaders",74,"2011-09-01","ios"
"Tiny Journey",NA,"2011-10-17","ios"
"Tiny Kingdom",NA,"2013-01-24","ios"
"Tiny Legends: Heroes",NA,"2012-12-06","ios"
"Tiny Lights",64,"2011-06-22","ios"
"Tiny Missiles",NA,"2013-08-29","ios"
"Tiny Monsters",NA,"2012-03-06","ios"
"Tiny Owls",NA,"2012-07-26","ios"
"Tiny Pets",NA,"2011-09-23","ios"
"Tiny Places",NA,"2011-12-15","ios"
"Tiny Plane",73,"2012-05-24","ios"
"Tiny Planet",NA,"2011-03-10","ios"
"Tiny Prehistoric Adventure",NA,"2014-06-19","ios"
"Tiny Rails",NA,"2016-12-13","ios"
"Tiny Realms",NA,"2014-06-26","ios"
"Tiny Rogue",81,"2015-11-11","ios"
"Tiny Solar",NA,"2013-01-14","ios"
"Tiny Space Adventure",78,"2014-03-27","ios"
"Tiny Striker",NA,"2014-06-18","ios"
"Tiny Striker: World Football",NA,"2017-02-16","ios"
"Tiny Thief",86,"2013-07-11","ios"
"Tiny Thor",NA,"2014-05-11","ios"
"Tiny Token Empires",NA,"2011-10-18","ios"
"Tiny Token Empires HD",NA,"2011-10-18","ios"
"Tiny Toots",NA,"2012-02-15","ios"
"Tiny Tower",82,"2011-06-23","ios"
"Tiny Tower Vegas",77,"2014-08-27","ios"
"Tiny Town",NA,"2011-10-24","ios"
"Tiny Troopers",81,"2012-06-07","ios"
"Tiny Troopers 2: Special Ops",82,"2013-03-28","ios"
"Tiny Troopers: Alliance",NA,"2014-09-24","ios"
"Tiny Village",NA,"2011-09-06","ios"
"Tiny War",NA,"2012-07-03","ios"
"Tiny Warriors",NA,"2012-09-08","ios"
"Tiny Whale!",NA,"2011-09-02","ios"
"Tiny Wings",85,"2011-02-18","ios"
"Tiny Wings HD",92,"2012-07-12","ios"
"TinyLegends - Crazy Knight",NA,"2012-05-31","ios"
"Tip Tap Monsters - Family Mahjong Game",NA,"2014-04-28","ios"
"Tipping Point Adventure Game",NA,"2013-05-01","ios"
"Tippy Tower",NA,"2011-03-12","ios"
"Tiptop: the last march.",79,"2010-04-15","ios"
"Titan Brawl",NA,"2016-11-10","ios"
"Titan HD",NA,"2012-03-28","ios"
"Titan Quest",80,"2016-05-18","ios"
"Titan: Escape the Tower",63,"2013-06-06","ios"
"TITAN: Olympus War",NA,"2014-03-28","ios"
"Titanfall: Assault",73,"2017-08-10","ios"
"Titans",NA,"2014-08-11","ios"
"Tito's Shell",NA,"2013-01-30","ios"
"TITUS",73,"2011-06-14","ios"
"Tix by Martijn Althuizen",NA,"2011-06-02","ios"
"TMNT - Portal Power",NA,"2016-01-06","ios"
"TNA Wrestling iMPACT",53,"2011-05-19","ios"
"TNNS",NA,"2012-11-05","ios"
"To the City of the Clouds",NA,"2012-10-25","ios"
"To The End",NA,"2014-06-22","ios"
"To the Moon",NA,"2017-05-10","ios"
"To The Throne",NA,"2016-08-05","ios"
"To-Fu 2",72,"2011-09-08","ios"
"To-Fu Fury",79,"2015-07-23","ios"
"To-Fu: The Trials of Chi",82,"2011-05-26","ios"
"To-Fu: The Trials of Chi HD",NA,"2011-05-26","ios"
"Toad Rider",NA,"2014-02-04","ios"
"Toast Time",81,"2014-02-06","ios"
"Tobe & Friends Hookshot Escape",79,"2012-03-01","ios"
"Toby: The Secret Mine",NA,"2016-04-14","ios"
"Toca Band",NA,"2012-09-19","ios"
"Toca Builders",NA,"2013-06-19","ios"
"Toca Cars",NA,"2013-09-18","ios"
"Toca Doctor",NA,"2011-04-28","ios"
"Toca Hair Salon 2",NA,"2012-12-13","ios"
"Toca Hair Salon Me",NA,"2013-11-27","ios"
"Toca House",NA,"2012-02-23","ios"
"Toca Kitchen 2",NA,"2014-12-18","ios"
"Toca Mini",NA,"2013-10-24","ios"
"Toca Pet Doctor",NA,"2014-02-27","ios"
"Toca Robot Lab",NA,"2012-03-15","ios"
"Toca Store",NA,"2011-10-06","ios"
"Today I Die Again",NA,"2010-10-22","ios"
"Tofu Hunter",66,"2015-05-07","ios"
"Toilet Paper Man",NA,"2013-01-26","ios"
"Tokaido",NA,"2017-03-20","ios"
"Tokyo 13",NA,"2016-07-07","ios"
"Tom Clancy's H.A.W.X",82,"2009-12-09","ios"
"Tom Clancy's Rainbow Six: Shadow Vanguard",76,"2011-03-17","ios"
"Tom Clancy's Rainbow Six: Shadow Vanguard HD",NA,"2011-07-14","ios"
"Tom Clancy's Splinter Cell: Conviction",72,"2010-05-27","ios"
"Tomato World",NA,"2014-06-27","ios"
"Tomato World 2",NA,"2015-03-13","ios"
"Tomb Breaker",64,"2013-05-03","ios"
"Tomb of the Mask",80,"2016-02-09","ios"
"Tomb Raider I",55,"2013-12-17","ios"
"Tomb Raider II",53,"2014-12-03","ios"
"Tomb Slider: full",NA,"2011-07-28","ios"
"Tomena Sanner US",70,"2009-11-23","ios"
"Tongue Tied",70,"2011-12-15","ios"
"Tons of Bullets! Super 2D Action Adventure Game",NA,"2016-09-21","ios"
"Tons of Guns",NA,"2013-07-02","ios"
"Tony Hawk's Pro Skater 2",84,"2010-04-01","ios"
"Toon Blast",NA,"2017-08-15","ios"
"Toon Shooters",NA,"2012-06-22","ios"
"Toon Shooters 2: The Freelancers",NA,"2016-11-10","ios"
"Toon Squad",NA,"2015-05-26","ios"
"Toonia TwinMatch - Mahjongg Pairing Game for Kids & Toddlers",NA,"2014-05-16","ios"
"Top Bot",NA,"2012-12-11","ios"
"Top Drives",NA,"2017-08-29","ios"
"Top Eleven 2015 - Be a soccer manager",63,"2015-01-26","ios"
"Top Gear: Drift Legends",NA,"2016-01-15","ios"
"Top Gear: Race The Stig",NA,"2014-03-06","ios"
"Top Gear: Stunt School HD",NA,"2010-12-21","ios"
"Top Gear: Stunt School Revolution",NA,"2012-06-14","ios"
"Top Girl",NA,"2011-06-06","ios"
"Top Gun 2",71,"2010-08-17","ios"
"Top Speed: Drag & Fast Racing",NA,"2015-07-23","ios"
"Top Tank",NA,"2014-11-26","ios"
"Topia World",NA,"2012-11-07","ios"
"Topia World Builder",75,"2012-10-11","ios"
"Toppling Towers",NA,"2011-09-28","ios"
"Topsoil",NA,"2017-04-28","ios"
"Tormentum - Dark Sorrow",NA,"2016-04-19","ios"
"Tornado Time",NA,"2014-03-05","ios"
"Torque Burnout",NA,"2015-09-30","ios"
"Torture Bunny",53,"2011-07-07","ios"
"Toss The Ball",NA,"2011-08-04","ios"
"Total Conquest - Online combat and strategy",NA,"2013-09-18","ios"
"Total Defense - Great TD in Stunning 3D",NA,"2013-01-09","ios"
"Total Defense 3D",NA,"2011-12-14","ios"
"Total Domination - Reborn",70,"2013-06-06","ios"
"Total Recall Game",NA,"2012-07-27","ios"
"Total Recoil",NA,"2012-11-15","ios"
"Total Toadz",NA,"2012-06-14","ios"
"Total War Battles",83,"2012-04-19","ios"
"Total War Battles: KINGDOM",67,"2016-03-21","ios"
"Totem Runner",80,"2012-10-25","ios"
"Totem Tribe Gold",NA,"2012-11-07","ios"
"Totem Tribe Gold HD",NA,"2012-11-07","ios"
"Totems",NA,"2013-03-15","ios"
"Touch Detective",63,"2011-08-04","ios"
"Touch Force",NA,"2014-01-24","ios"
"Touch Pets Dogs",81,"2010-03-24","ios"
"Touch Racing 2",NA,"2014-08-06","ios"
"Touch Racing Nitro",64,"2010-03-29","ios"
"Touch Tap Tunes",NA,"2011-03-08","ios"
"TouchBattleTankSP",NA,"2013-01-22","ios"
"Touchdown Hero",NA,"2015-01-29","ios"
"Touchdown Hero: New Season",NA,"2015-09-10","ios"
"Touchdowners",NA,"2017-06-21","ios"
"Touchgrind BMX",77,"2011-05-26","ios"
"Touchgrind BMX 2",NA,"2018-04-11","ios"
"Touchgrind Skate 2",80,"2013-11-21","ios"
"TouchTone",84,"2015-03-19","ios"
"Tough Nuts Pinball",NA,"2013-10-03","ios"
"Toughest Game Ever 2",NA,"2014-07-07","ios"
"TourStar",NA,"2014-08-11","ios"
"Towel Tim",NA,"2012-11-28","ios"
"Towelfight 2: The Monocle of Destiny",78,"2013-02-26","ios"
"Tower Assault! Curse of Zombie Island",NA,"2010-11-01","ios"
"Tower Balance",NA,"2012-12-18","ios"
"Tower Boxing",NA,"2014-08-28","ios"
"Tower Defense: Lost Earth",83,"2011-05-26","ios"
"Tower Defense: Lost Earth HD",80,"2011-05-26","ios"
"Tower Dwellers",NA,"2013-11-19","ios"
"Tower Math",NA,"2014-04-23","ios"
"Tower of Fortune",82,"2012-04-28","ios"
"Tower of Fortune 2",NA,"2013-09-20","ios"
"Tower of Fortune 3",NA,"2016-01-13","ios"
"Tower Town",NA,"2011-11-10","ios"
"Tower Zoo",NA,"2013-04-10","ios"
"TowerMadness 2",NA,"2014-01-22","ios"
"Towers & Dungeons",NA,"2012-11-29","ios"
"Towers N' Trolls",NA,"2012-02-23","ios"
"Towers N' Trolls HD",NA,"2012-02-23","ios"
"Towers Runner",NA,"2015-09-10","ios"
"TownCraft",73,"2013-09-10","ios"
"Toy Factory",NA,"2012-02-16","ios"
"Toy Matters",NA,"2013-06-13","ios"
"Toy Rush",NA,"2014-05-14","ios"
"Toy Shot",70,"2011-12-15","ios"
"Toy Story: Smash It!",84,"2013-02-28","ios"
"Toy Village",NA,"2011-11-17","ios"
"Toybox",69,"2012-08-23","ios"
"Toysburg: The Monumental Adventure",NA,"2015-05-27","ios"
"Toyshop Adventures",NA,"2010-10-20","ios"
"Traal",NA,"2013-01-20","ios"
"Trace 2",NA,"2013-09-25","ios"
"Track Lapse",NA,"2012-02-15","ios"
"Track the Ripper",NA,"2012-06-04","ios"
"Tractor Trails",73,"2012-05-03","ios"
"Trade Nations",NA,"2010-11-09","ios"
"Trade Nations",NA,"2011-04-20","ios"
"Traffic Master",NA,"2011-03-01","ios"
"Traffic Panic",NA,"2011-02-01","ios"
"Traffic Panic 3D",NA,"2011-11-24","ios"
"Traffic Panic London",NA,"2012-06-21","ios"
"Traffic Racer",NA,"2012-09-26","ios"
"Traffic Rider",NA,"2015-12-23","ios"
"Traffic Rush 2",NA,"2015-11-21","ios"
"Traffic Wonder",NA,"2012-03-14","ios"
"Trailer Park Boys: Greasy Money",NA,"2017-04-20","ios"
"Trailer Park King - Little Redneck People",NA,"2014-04-17","ios"
"Train Conductor",78,"2009-12-18","ios"
"Train Conductor 2: USA",77,"2010-07-13","ios"
"Train Conductor World: European Railway",NA,"2016-02-19","ios"
"Train Crisis HD+",NA,"2012-03-23","ios"
"Train Defense",NA,"2012-01-26","ios"
"Train Titans",NA,"2012-02-16","ios"
"TrainCrasher",NA,"2015-12-22","ios"
"Traintiles",NA,"2012-07-19","ios"
"Trainyard",90,"2010-06-10","ios"
"Trainz Driver",NA,"2012-07-31","ios"
"Trainz Simulator 2",NA,"2014-05-29","ios"
"Tramampoline",NA,"2012-12-20","ios"
"Trambo",NA,"2014-01-30","ios"
"Trampoloons",NA,"2012-03-01","ios"
"TRANSFORMERS G1: AWAKENING",81,"2010-02-25","ios"
"TRANSFORMERS Legends",73,"2013-04-25","ios"
"TRANSFORMERS: AGE OF EXTINCTION - The Official Game",NA,"2014-06-18","ios"
"TRANSFORMERS: Battle Tactics",NA,"2015-02-04","ios"
"Transformers: Dark of the Moon",55,"2011-06-28","ios"
"Transformers: Earth Wars",78,"2016-05-31","ios"
"TRANSFORMERS: Forged to Fight",NA,"2017-01-25","ios"
"Transformoid",NA,"2011-12-28","ios"
"Transistor",93,"2015-06-10","ios"
"Transport Empire",NA,"2014-04-09","ios"
"Transport Tycoon",81,"2013-10-03","ios"
"Transworld Endless Skater",70,"2014-07-10","ios"
"Transylvania Adventure",NA,"2009-10-30","ios"
"TRAP DA GANG",NA,"2016-04-21","ios"
"Trap Mansion",NA,"2012-10-30","ios"
"Trappped",NA,"2013-08-29","ios"
"Trappy Tomb - MMO crypt raider",NA,"2015-06-15","ios"
"Traps n' Gemstones",93,"2014-07-23","ios"
"TRAUMA",NA,"2013-03-22","ios"
"Trauma Ted",NA,"2012-10-19","ios"
"Tread of the Dead",70,"2012-08-16","ios"
"Treasure Arm",NA,"2010-12-01","ios"
"Treasure Buster",NA,"2016-10-06","ios"
"Treasure Fetch - Adventure Time",NA,"2014-09-17","ios"
"Treasure Seekers 2: The Enchanted Canvases",NA,"2011-01-13","ios"
"Treasure Seekers 2: The Enchanted Canvases HD",NA,"2011-01-13","ios"
"Treasure Seekers 3: Follow the Ghosts",NA,"2011-06-23","ios"
"Treasure Seekers 3: Follow the Ghosts HD",NA,"2011-06-23","ios"
"Treasure Seekers 3: Follow the Ghosts, Collector's Edition",NA,"2013-10-16","ios"
"Treasure Seekers 4: The Time Has Come",NA,"2012-03-08","ios"
"Treasure Seekers of Lady Luck",NA,"2013-04-11","ios"
"Treasure Seekers: Visions of Gold",NA,"2010-10-19","ios"
"Treasure Seekers: Visions of Gold HD",NA,"2010-10-22","ios"
"Treasure Tower Sprint",NA,"2013-06-18","ios"
"Tree Wars",NA,"2014-01-22","ios"
"Tree World",NA,"2012-03-28","ios"
"TreeConnect",NA,"2010-09-03","ios"
"Treemaker",60,"2011-08-25","ios"
"Trenches",78,"2009-12-23","ios"
"Trenches II",72,"2011-12-15","ios"
"Trenches: Generals",NA,"2011-06-23","ios"
"TRI-TRI-TRIOBELISK",NA,"2011-05-15","ios"
"Trial By Survival",59,"2013-08-08","ios"
"Trial of the Clone",84,"2013-04-16","ios"
"Trial Xtreme 2 Winter Edition",NA,"2012-03-27","ios"
"Trial Xtreme 3",67,"2013-01-09","ios"
"Trials Frontier",64,"2014-04-09","ios"
"TrialX2 Winter Free",NA,"2012-04-05","ios"
"Triangle Draw",NA,"2011-01-26","ios"
"Tribal Quest",NA,"2013-06-10","ios"
"Tribe Survival",NA,"2013-03-30","ios"
"TriBlaster",NA,"2014-03-20","ios"
"Trichrome",NA,"2013-07-05","ios"
"Trick or Treat - Little Critter",NA,"2013-10-09","ios"
"Trick Shot",NA,"2015-09-03","ios"
"Trick Shot 2",NA,"2018-04-03","ios"
"Trigger City",NA,"2013-05-13","ios"
"Trigger Fist",84,"2012-08-08","ios"
"Trigonarium",NA,"2015-04-08","ios"
"Trigonon",68,"2011-03-03","ios"
"Trilogic",NA,"2017-03-18","ios"
"TRIOO",NA,"2014-10-30","ios"
"Triple Jump",NA,"2015-06-11","ios"
"Triple Town",83,"2012-01-19","ios"
"Triple Trouble",NA,"2011-12-21","ios"
"TripTrap",NA,"2014-01-22","ios"
"Trisector",NA,"2013-06-18","ios"
"Trivia Crack",NA,"2013-10-26","ios"
"Trivia Death Match with Ken Jennings",NA,"2013-03-14","ios"
"Trivial",78,"2012-06-21","ios"
"TRIVIAL PURSUIT Master Edition for iPad",NA,"2011-10-27","ios"
"Trixel",79,"2009-05-19","ios"
"TriZen",NA,"2011-04-26","ios"
"Troll Face Quest Unlucky",NA,"2015-06-11","ios"
"Trolls vs Vikings",61,"2014-02-24","ios"
"Tron: Legacy",63,"2010-12-16","ios"
"Tropical Slots Deluxe",NA,"2010-12-16","ios"
"Tropical Wars",NA,"2016-04-20","ios"
"Trouble in Tin Town",67,"2010-12-22","ios"
"Trouble With Robots",NA,"2014-11-27","ios"
"Trouserheart",77,"2013-09-26","ios"
"Truck Jam",NA,"2010-12-30","ios"
"Truck Trials 2: Farm House 4x4",NA,"2015-05-30","ios"
"Trucker: Parking Simulator",NA,"2013-05-23","ios"
"Truckers Delight: Episode 1",70,"2010-05-18","ios"
"Trucks and Skulls HD",NA,"2010-11-18","ios"
"Trucks and Skulls NITRO",NA,"2011-06-15","ios"
"Trucksform",NA,"2015-07-16","ios"
"True Lover's Knot",NA,"2015-12-05","ios"
"True Skate",78,"2012-10-18","ios"
"Trulon",NA,"2015-04-29","ios"
"Trump's Wall - Build it Huuuge",NA,"2016-04-14","ios"
"Try Harder",NA,"2015-06-11","ios"
"Tsuro",77,"2016-02-03","ios"
"TTQ",NA,"2014-07-01","ios"
"TubeHero",NA,"2011-09-29","ios"
"Tug of Words",NA,"2013-11-19","ios"
"Tug the Table",NA,"2013-04-24","ios"
"Tumblebugs",NA,"2009-09-16","ios"
"Tumbledrop",78,"2010-01-15","ios"
"Tumblewords",NA,"2013-01-24","ios"
"Tune Rider",NA,"2011-09-15","ios"
"Tuned",NA,"2011-05-12","ios"
"Tunnel Shoot Pro",70,"2010-06-24","ios"
"Tunnel Town",NA,"2013-07-17","ios"
"Tupsu: The Furry Little Monster",NA,"2012-12-15","ios"
"Turbo Dismount",85,"2014-09-24","ios"
"Turbo Grannies",NA,"2011-03-10","ios"
"Turbo League",NA,"2017-01-03","ios"
"Turbo Racing League",74,"2013-05-16","ios"
"Turbolab Pursuit",NA,"2013-02-12","ios"
"Turd Birds",69,"2013-07-11","ios"
"Turmoil",NA,"2017-02-22","ios"
"Turnacle",NA,"2012-04-02","ios"
"Turntales",NA,"2011-11-24","ios"
"Turret Commander",NA,"2012-08-29","ios"
"Turtle Slide",NA,"2011-06-13","ios"
"Turtle Totem",NA,"2014-09-04","ios"
"TurtleStrike",NA,"2013-07-24","ios"
"Twang the Fox",71,"2012-09-06","ios"
"Tweens HD",NA,"2011-11-23","ios"
"Tweet Land",51,"2012-01-31","ios"
"Twelve a Dozen",NA,"2014-09-10","ios"
"Twilight Struggle Mobile",93,"2016-06-24","ios"
"Twin Blades",65,"2009-12-07","ios"
"Twin Blades HD",NA,"2010-06-11","ios"
"Twin Moons",NA,"2013-07-17","ios"
"Twin Moons HD",NA,"2013-07-17","ios"
"Twin Shooter - Invaders",NA,"2015-09-30","ios"
"Twinflix: Falling Blocks Puzzle Teto Tris Game",NA,"2010-12-22","ios"
"TwinGo!",84,"2012-03-08","ios"
"Twinkle Wheel",NA,"2013-04-12","ios"
"TwinSpin",NA,"2012-03-08","ios"
"Twirdie",NA,"2011-06-15","ios"
"Twist Pilot",NA,"2012-10-18","ios"
"Twisted Lands: Insomniac Collector's Edition HD",NA,"2012-07-19","ios"
"Twisted Lands: Shadow Town",NA,"2010-12-15","ios"
"Twisted Maestro",NA,"2011-04-27","ios"
"TwisTime",NA,"2012-06-01","ios"
"Twisty Board",NA,"2016-10-12","ios"
"Twisty Hollow",82,"2014-10-29","ios"
"Twisty Planets",75,"2014-06-12","ios"
"Twitchy Thrones",NA,"2014-10-29","ios"
"Two Dots",79,"2014-05-29","ios"
"Two Worlds II Castle Defense",69,"2011-05-17","ios"
"twofold inc.",87,"2016-01-28","ios"
"TXT Fighter",NA,"2010-12-16","ios"
"Type:Rider",83,"2013-10-10","ios"
"TypeShift",86,"2017-03-18","ios"
"Typing Maniac",NA,"2011-02-11","ios"
"Tyrant Unleashed",NA,"2013-08-08","ios"
"Uber Racer 3D: Sandstorm",NA,"2010-12-17","ios"
"UberStrike",NA,"2012-10-04","ios"
"UFHO2",NA,"2014-04-01","ios"
"UFO on Tape",80,"2010-09-30","ios"
"Ugly Animals",NA,"2013-04-18","ios"
"UHR-Warlords",NA,"2014-02-18","ios"
"Ulterior",NA,"2016-05-18","ios"
"Ultima Forever: Quest for the Avatar",59,"2013-08-02","ios"
"Ultimate Briefcase",NA,"2016-02-03","ios"
"Ultimate General: Gettysburg",NA,"2015-02-21","ios"
"Ultimate Mortal Kombat 3",54,"2010-12-16","ios"
"Ultimate Mortal Kombat 3 for iPad",NA,"2011-02-10","ios"
"Ultimate Robot Fighting",NA,"2014-12-18","ios"
"Ultra Drift",NA,"2014-08-15","ios"
"ULTRAFLOW",NA,"2015-03-11","ios"
"ULTRAHYPER",NA,"2014-11-12","ios"
"Ultraman Galaxy",NA,"2013-10-30","ios"
"UMAI!",NA,"2014-06-18","ios"
"Umiro",74,"2018-03-29","ios"
"Unblock Jennifer",NA,"2012-06-06","ios"
"Uncanny X-Men: Days of Future Past",64,"2014-05-22","ios"
"Uncharted: Fortune Hunter",77,"2016-05-05","ios"
"Undead Island",NA,"2011-03-03","ios"
"Undead Slayer",NA,"2012-12-31","ios"
"Undead Soccer",NA,"2013-01-17","ios"
"Under the Sun - A 4D puzzle game",NA,"2015-02-24","ios"
"Underground Kingdom",NA,"2013-01-15","ios"
"Unearthed: Trail of Ibn Battuta - Episode 1",NA,"2013-05-22","ios"
"Unicorn Rush",NA,"2012-06-21","ios"
"Universal Movie Tycoon",NA,"2012-02-29","ios"
"UNKILLED",65,"2015-09-03","ios"
"Unknown Orbit",NA,"2012-12-10","ios"
"Unlock",NA,"2012-06-06","ios"
"Unmechanical",78,"2013-03-18","ios"
"Unpixelate",NA,"2015-01-14","ios"
"Unpossible",79,"2014-04-17","ios"
"UNPUZZLED",NA,"2013-07-23","ios"
"Unstoppable Fist",75,"2012-06-28","ios"
"Unstoppable Gorg",85,"2012-01-19","ios"
"Unstoppable Square",NA,"2014-02-18","ios"
"UNWYND",NA,"2015-06-25","ios"
"Up In Flames",NA,"2013-02-28","ios"
"Up To The Top",NA,"2011-06-21","ios"
"Updraft Jack",NA,"2012-01-10","ios"
"Uplink",83,"2012-06-07","ios"
"Uppercup Football",NA,"2014-06-16","ios"
"UpUp: Frozen Adventure",NA,"2015-07-09","ios"
"UPWORDS",NA,"2013-01-11","ios"
"Urban Crime",51,"2012-01-12","ios"
"Urban Fleak",NA,"2011-09-21","ios"
"Urban Futbol",NA,"2012-08-23","ios"
"Urban Ninja",73,"2010-10-01","ios"
"Urban Trial Freestyle",61,"2014-07-10","ios"
"Urp!",NA,"2013-12-14","ios"
"Usagi Yojimbo: Way of the Ronin",NA,"2013-02-21","ios"
"UsagiMan",NA,"2013-12-23","ios"
"Vacation Quest: The Hawaiian Islands",NA,"2012-10-04","ios"
"Vainglory",84,"2014-11-16","ios"
"Valerian: City of Alpha",NA,"2017-07-14","ios"
"Valiant Hearts: The Great War",87,"2014-09-04","ios"
"Valkyrie Crusade",NA,"2013-03-27","ios"
"Valor HD",NA,"2011-10-28","ios"
"Vampire Origins RELOADED",69,"2010-04-02","ios"
"Vampire Rush",71,"2011-04-28","ios"
"Vampire Rush HD",NA,"2011-04-28","ios"
"Vampire Season",77,"2012-04-11","ios"
"Vampire Season - Monster Defense",NA,"2012-10-16","ios"
"Vampire: Prelude",NA,"2017-02-16","ios"
"Van Pershing - The  Showdown",NA,"2011-02-16","ios"
"Vandals",72,"2018-04-12","ios"
"Vanessa Saint-Pierre Delacroix",NA,"2011-12-26","ios"
"VANQUISH: The Oath of Brothers",61,"2010-02-05","ios"
"Vector",NA,"2012-10-11","ios"
